경로당명,주소,회원수,행정동,경도,위도
대한노인회성환읍분회,충청남도 천안시 서북구 성환읍 성환8길 19,23,성환읍,127.1345949,36.91640242
성환1리,충청남도 천안시 서북구 성환읍 성환14길 13-4,49,성환읍,127.1271697,36.91929329
성환3리(노인건강쉼터),충청남도 천안시 서북구 성환읍 성환시장길 9,35,성환읍,127.1297726,36.91838839
성환4리,충청남도 천안시 서북구 성환읍 성환16길 12,35,성환읍,127.131855,36.92019684
성환5리,충청남도 천안시 서북구 성환읍 성환11길 35-14,74,성환읍,127.1320744,36.91705692
성환6리,충청남도 천안시 서북구 성환읍 성환3로 46,55,성환읍,127.1330395,36.9149107
성환7리,충청남도 천안시 서북구 성환읍 성환4길 35,44,성환읍,127.1291396,36.91467224
성환8리,충청남도 천안시 서북구 성환읍 성환21길 23,72,성환읍,127.1260913,36.91918775
성환9리,충청남도 천안시 서북구 성환읍 성환중앙로 86-1,42,성환읍,127.1343937,36.91946988
성환10리,충청남도 천안시 서북구 성환읍 성환18길 11-45,64,성환읍,127.1305227,36.92592711
성환11리,충청남도 천안시 서북구 성환11길 57-3,53,성환읍,127.1340432,36.91544833
성월1리,충청남도 천안시 서북구 성환읍 성월수향길 14,54,성환읍,127.1361469,36.92021489
성월2리,충청남도 천안시 서북구 성환읍 성월2길 13,59,성환읍,127.1363729,36.9184338
성월3리,충청남도 천안시 서북구 성환읍 성월1길 15-1,30,성환읍,127.1420764,36.91317653
성월4리(현대한솔APT),충청남도 천안시 서북구 성환읍 성월2길 16,47,성환읍,127.1358748,36.9182965
매주1리,충청남도 천안시 서북구 매주2길 80 (매주리 212-4),34,성환읍,127.1308631,36.90155239
매주2리,충청남도 천안시 서북구 성환읍 성환1로 180-9,53,성환읍,127.1289864,36.91107596
매주3리,충청남도 천안시 서북구 성환읍 연암율금로 389,66,성환읍,127.121286,36.90914374
매주4리,충청남도 천안시 서북구 성환읍 연암율금로 435-22,32,성환읍,127.126639,36.91267685
매주4리(골드맨션아파트),충청남도 천안시 서북구 성환읍 성환1로 204 골드맨편아파트 가-208,38,성환읍,127.1290638,36.913295
매주5리(삼풍APT),충청남도 천안시 서북구 성환읍 성환2로 56(관리사무소 옆),59,성환읍,127.13155,36.91208319
매주6리(충효관),충청남도 천안시 서북구 성환읍 상덕매주길 118,28,성환읍,127.123522,36.90134218
"매주7,8리(부영1차아파트)","충청남도 천안시 서북구 성환읍 천안대로 1843, 관리사무소 옆",40,성환읍,127.1353952,36.90281308
매주9리(부영2차아파트),"충청남도 천안시 서북구 성환읍 천안대로 1853, 부영2차아파트 관리사무소 옆",50,성환읍,127.1344118,36.90539971
매주10리(부영3차아파트),"충청남도 천안시 서북구 성환읍 천안대로 1853, 부영3차아파트 관리사무소 옆",20,성환읍,127.1344118,36.90539971
매주11리,"충청남도 천안시 서북구 성환읍 연암율금로 480, 중앙아파트 103호",86,성환읍,127.1307766,36.9113747
매주12리(e편한세상A),충청남도 천안시 서북구 성환읍 성환1로 54-45,23,성환읍,127.1322612,36.90114715
율금1리,충청남도 천안시 서북구 성환읍 율금4길 27,72,성환읍,127.109071,36.89839027
율금2리,충청남도 천안시 서북구 성환읍 율금1길 261,53,성환읍,127.1074714,36.90375921
율금3리(금곡쉼터),충청남도 천안시 서북구 성환읍 율금9길 110-8,31,성환읍,127.1108126,36.90814943
율금4리(두진아파트),충청남도 천안시 서북구 성환읍 율금1길 221-34,34,성환읍,127.0995339,36.90549794
율금5리(두진아파트),충청남도 천안시 서북구 성환읍 율금1길 221-34,41,성환읍,127.0995339,36.90549794
율금6리(이화아파트),충청남도 천안시 서북구 성환읍 율금1길 276,31,성환읍,127.1093742,36.90274734
율금7리(한아름아파트),충청남도 천안시 서북구 성환읍 율금1길 309,21,성환읍,127.1119334,36.90563883
왕림1리,충청남도 천안시 서북구 성환읍 왕지4길 51,40,성환읍,127.0975734,36.9144415
왕림2리,충청남도 천안시 서북구 성환읍 각금3길 94-9,26,성환읍,127.0928763,36.92288428
왕림3리,충청남도 천안시 서북구 성환읍 임리길 65,31,성환읍,127.088741,36.9273256
신방1리,충청남도 천안시 서북구 성환읍 신무길 42,82,성환읍,127.0818627,36.93430869
신방2리,충청남도 천안시 서북구 성환읍 신방4길 6-10,49,성환읍,127.0799382,36.94161668
송덕1리,충청남도 천안시 서북구 성환읍 송덕2길 108,39,성환읍,127.1190277,36.92293358
송덕1리(영흥아파트),충청남도 천안시 서북구 성환읍 신방로 362 가동 109호 (영흥아파트),43,성환읍,127.1183957,36.92303838
송덕2리,충청남도 천안시 서북구 성환읍 왕림길 126,36,성환읍,127.1115377,36.91708455
우신1리,충청남도 천안시 서북구 성환읍 와룡길 60,55,성환읍,127.1174012,36.92919113
우신2리,충청남도 천안시 서북구성환읍 우신새터길 15,46,성환읍,127.119312,36.92639981
어룡리,충청남도 천안시 서북구 성환읍 어룡3길 12,41,성환읍,127.1225113,36.939301
신가1리,충청남도 천안시 서북구 성환읍 성환신흥1길 114(신가리 340-2),38,성환읍,127.1139874,36.94980187
신가2리,충청남도 천안시 서북구 성환읍 가동길 14,23,성환읍,127.1147617,36.95237725
와룡1리,충청남도 천안시 서북구 성환읍 와우2길 38-18,55,성환읍,127.1042553,36.94967015
와룡2리,충청남도 천안시 서북구 성환읍 가동길 41-84,31,성환읍,127.1076597,36.9560152
와룡3리,충청남도 천안시 서북구 성환읍 북농촌길 29,38,성환읍,127.1016654,36.95796584
대홍1리,충청남도 천안시 서북구 성환읍 대홍4길 15-9,66,성환읍,127.1407204,36.93958746
대홍2리,충청남도 천안시 서북구 성환읍 성월수향길 251-1,18,성환읍,127.1479326,36.93807496
대홍3리,충청남도 천안시 서북구 성환읍 홍경길 98,40,성환읍,127.1397185,36.94588474
대홍4리,충청남도 천안시 서북구 성환읍 천안대로 2157,30,성환읍,127.1339851,36.93128935
대홍5리,충청남도 천안시 서북구 성환읍 연암로 19,56,성환읍,127.1343679,36.94908564
수향1리,충청남도 천안시 서북구 성환읍 지족향길 34,55,성환읍,127.1436515,36.95115881
수향2리,충청남도 천안시 서북구 성환읍 무내1길 27,72,성환읍,127.1520834,36.94545045
수향3리,충청남도 천안시 서북구 성환읍 신향촌길 11,54,성환읍,127.1545136,36.93854992
수향4리,충청남도 천안시 서북구 성환읍 잠실길 95,24,성환읍,127.1526559,36.95316755
안궁1리,충청남도 천안시 서북구 성환읍 안궁1길 240,36,성환읍,127.1468219,36.95710437
안궁2리,충청남도 천안시 서북구 성환읍 안궁2길 94,36,성환읍,127.1363026,36.96270681
안궁3리,충청남도 천안시 서북구 성환읍 안궁 4길 9-14,53,성환읍,127.1285275,36.96349312
안궁4리,충청남도 천안시 서북구 성환읍 안궁2길 18-24,39,성환읍,127.1335247,36.95723622
안궁4리(한미래아파트),"충청남도 천안시 서북구 성환읍 안궁1길 2 , 101동 111호",30,성환읍,127.1321817,36.95621309
안궁5리,충청남도 천안시 서북구 성환읍 문화촌2길 7-14,43,성환읍,127.1182132,36.96672937
양령1리,충청남도 천안시 서북구 성환읍 상령길 116,28,성환읍,127.1523194,36.9662606
양령2리,충청남도 천안시 서북구 성환읍 양령1길 125,25,성환읍,127.1545764,36.96382376
양령3리(화친정),충청남도 천안시 서북구 성환읍 후생촌1길 55,40,성환읍,127.1720147,36.95476665
도하1리,충청남도 천안시 서북구 성환읍 도감1길1,40,성환읍,127.1640374,36.94787551
도하2리,충청남도 천안시 서북구 성환읍 하리1길 50-1,54,성환읍,127.1691427,36.94573772
도하3리 ,충청남도 천안시 서북구 성환읍 도야길 29,30,성환읍,127.1635743,36.94626734
